Outcode3,Avg_price
BR11,52
BR12,121
BR13,73
BR14,66
BR15,63
BR20,73
BR26,152
BR27,97
BR28,82
BR29,72
BR31,79
BR33,100
BR34,73
BR35,78
BR36,113
BR40,93
BR49,90
BR51,104
BR52,62
BR53,50
BR54,58
BR60,80
BR66,90
BR67,85
BR68,160
BR69,82
BR75,124
BR76,101
CR00,54
CR01,48
CR02,44
CR03,51
CR04,55
CR05,81
CR06,54
CR07,73
CR08,73
CR09,44
CR20,86
CR26,53
CR27,60
CR28,70
CR29,83
CR41,58
CR42,64
CR43,54
CR44,57
CR51,79
CR52,81
CR76,54
CR77,54
CR78,56
CR81,89
CR82,67
CR83,133
CR84,75
CR85,85
DA14,46
DA144,66
DA145,57
DA146,49
DA157,67
DA158,67
DA159,71
DA161,60
DA162,67
DA163,53
DA175,48
DA176,49
DA184,37
DA51,70
DA52,69
DA53,75
DA67,61
DA68,72
DA74,66
DA75,70
DA76,60
DA81,48
DA82,52
DA83,53
E10,73
E11,69
E12,79
E13,66
E14,65
E15,70
E16,116
E17,78
E18,89
E105,72
E106,75
E107,75
E111,75
E112,110
E113,84
E114,79
E125,78
E126,57
E130,54
E138,52
E139,57
E140,72
E142,65
E143,72
E144,101
E145,70
E146,58
E147,66
E148,87
E149,100
E151,77
E152,62
E153,63
E154,67
E161,56
E162,68
E163,54
E164,50
E173,74
E174,83
E175,73
E176,76
E177,71
E178,75
E179,85
E181,83
E182,78
E1W1,120
E1W2,147
E1W3,90
E20,70
E26,83
E27,99
E28,87
E29,84
E201,85
E32,71
E33,55
E34,65
E35,89
E46,75
E47,82
E48,61
E49,77
E50,111
E58,81
E59,70
E61,50
E62,57
E63,59
E65,51
E66,50
E70,84
E78,66
E79,68
E81,97
E82,85
E83,130
E84,100
E95,74
E96,72
E97,109
EC1A4,96
EC1A7,184
EC1A9,113
EC1M3,86
EC1M4,73
EC1M5,184
EC1M6,58
EC1M7,75
EC1N7,79
EC1N8,132
EC1R0,126
EC1R1,165
EC1R3,145
EC1R4,112
EC1R5,53
EC1V0,126
EC1V1,168
EC1V2,98
EC1V3,108
EC1V4,155
EC1V7,109
EC1V8,115
EC1V9,85
EC1Y0,113
EC1Y1,82
EC1Y2,145
EC1Y8,100
EC2A2,183
EC2A3,136
EC2A4,136
EC2M4,171
EC2Y5,112
EC2Y8,127
EC2Y9,121
EC3A5,73
EC3M1,171
EC3N1,63
EC3N2,84
EC3N4,144
EC3R6,396
EC4A1,121
EC4A3,70
EC4M7,98
EC4R0,108
EC4V3,66
EC4V5,129
EC4Y0,106
EN11,66
EN12,78
EN13,70
EN14,49
EN20,64
EN26,75
EN27,81
EN28,68
EN29,103
EN34,48
EN35,56
EN36,52
EN37,54
EN40,216
EN48,73
EN49,88
EN51,86
EN52,80
EN53,125
EN55,93
HA01,61
HA02,63
HA03,73
HA04,71
HA11,67
HA12,58
HA13,85
HA14,73
HA20,64
HA26,74
HA27,80
HA28,59
HA29,70
HA30,99
HA35,62
HA36,87
HA37,66
HA38,88
HA39,69
HA40,73
HA46,70
HA47,89
HA48,87
HA49,74
HA51,104
HA52,82
HA53,124
HA54,111
HA55,101
HA61,90
HA62,154
HA71,66
HA72,89
HA73,127
HA74,105
HA80,59
HA85,69
HA86,77
HA87,83
HA88,84
HA89,83
HA90,51
HA96,68
HA97,72
HA98,72
HA99,76
IG11,56
IG12,52
IG13,67
IG14,59
IG110,44
IG117,45
IG118,33
IG119,59
IG26,72
IG27,64
IG38,61
IG39,70
IG45,75
IG50,73
IG61,69
IG62,67
IG63,58
IG74,53
IG80,110
IG87,73
IG88,74
IG89,91
IG96,80
KT11,90
KT12,87
KT13,87
KT14,86
KT25,112
KT26,103
KT27,188
KT33,101
KT34,119
KT35,95
KT36,93
KT48,76
KT58,85
KT59,84
KT64,79
KT66,84
KT67,79
KT89,151
KT91,65
KT92,67
N10,146
N11,171
N12,121
N13,106
N14,119
N15,91
N16,76
N17,122
N18,147
N19,100
N101,109
N102,131
N103,167
N111,66
N112,97
N113,80
N120,74
N127,133
N128,75
N129,80
N134,95
N135,78
N136,62
N137,31
N144,78
N145,96
N146,102
N147,118
N153,86
N154,75
N155,68
N156,93
N160,141
N165,93
N166,88
N167,105
N168,111
N169,127
N170,55
N176,81
N177,67
N178,53
N179,62
N181,56
N182,49
N193,103
N194,104
N195,88
N1C4,186
N20,330
N28,63
N29,158
N200,84
N208,237
N209,124
N211,104
N212,99
N213,109
N225,73
N226,81
N227,110
N228,73
N31,120
N32,100
N33,129
N41,91
N42,94
N43,96
N44,108
N51,161
N52,116
N64,246
N65,177
N66,422
N70,95
N76,85
N77,92
N78,109
N79,91
N80,104
N87,90
N88,137
N89,104
N90,49
N97,53
N98,51
N99,53
NW10,85
NW11,85
NW12,99
NW13,103
NW14,433
NW15,170
NW16,122
NW17,251
NW18,237
NW19,122
NW100,57
NW101,108
NW102,108
NW103,167
NW104,91
NW105,135
NW106,96
NW107,69
NW108,65
NW109,57
NW110,161
NW116,179
NW117,205
NW118,136
NW119,148
NW21,120
NW22,145
NW23,102
NW24,131
NW25,86
NW26,99
NW27,81
NW31,376
NW32,171
NW33,169
NW34,166
NW35,197
NW36,241
NW37,364
NW41,110
NW42,115
NW43,92
NW44,83
NW51,152
NW52,122
NW53,125
NW54,95
NW61,118
NW62,93
NW63,144
NW64,102
NW65,77
NW66,176
NW67,128
NW71,88
NW72,97
NW73,96
NW74,172
NW80,291
NW86,279
NW87,250
